News Title,News Date
"Harga Sahamnya Meroket, Ini Penjelasan Indofarma (INAF) Soal Kepemilikan Asabri",05 April 2017 18:05 WIB
"Naik 12,42% Dalam Seminggu, Saham INAF Masuk UMA",30 Maret 2017 13:40 WIB
"2016, Indofarma (INAF) Rugi Rp17,36 Miliar",27 Maret 2017 10:59 WIB
"TOP GAINERS 3 MARET: Saham Indofarma Meroket 24,79%",03 Maret 2017 17:56 WIB
The Magnificent Seven Kini Terdiskon,22 Februari 2017 11:05 WIB
Investor Ambil Untung Saham Plat Merah,21 Februari 2017 23:03 WIB
TOP LOSERS 23 JANUARI: Saham Indofarma Terjerembap 25%,23 Januari 2017 17:25 WIB
Saham INAF Bergerak Tak Wajar,10 Januari 2017 08:27 WIB
Indofarma (INAF) Bidik Kenaikan Laba 4 Kali Lipat,28 Desember 2016 10:00 WIB
"EMITEN: Meski Pendapatan Bertumbuh, Indofarma Masih Merugi",29 Juli 2016 23:42 WIB
"LAPORAN KEUANGAN: Indofarma Rugi Rp27,86 Miliar",29 Juli 2016 18:14 WIB
EMITEN FARMASI INAF: Tertolong Penguatan Rupiah,13 Mei 2016 08:46 WIB
Indofarma (INAF): Kinerja Kuartal Pertama Belum Sejalan Target,26 April 2016 03:20 WIB
TOP GAINERS 7 APRIL: Saham Antam Paling Melesat,07 April 2016 18:00 WIB
"Indofarma (INAF) Incar Pertumbuhan Aset 10,95%",02 April 2016 16:50 WIB
Indofarma (INAF) Bidik Kontribusi Penjualan Produk Herbal Naik Jadi 10%,16 Maret 2016 08:50 WIB
"Laba Indofarma Melambung 3,5 Kalilipat",11 Maret 2016 16:48 WIB
TOP GAINERS 20 Januari: Saham Indofarma Melonjak,20 Januari 2016 17:55 WIB
TOP GAINERS 20 Januari: Saham Indofarma Melonjak Kuat,20 Januari 2016 17:54 WIB
TOP GAINERS 15 Januari: INAF Melesat Paling Kuat,15 Januari 2016 20:13 WIB
Indofarma Siapkan Capex Rp269 Miliar,29 Desember 2015 05:35 WIB
Indofarma Incar Penjualan Bahan Baku Obat Herbal Hingga Rp400 Miliar,28 Desember 2015 12:55 WIB
Rencana Konsolidasi BUMN Farmasi Kembali Digulirkan,17 Desember 2015 19:33 WIB
OBAT GENERIK: Indofarma Setuju Harga Obat Generik Bermerek Dikenai Batas Atas,19 November 2015 20:30 WIB
"Rupiah Tembus Rp14.000, Indofarma Tak Ubah Target",25 Agustus 2015 05:33 WIB
INDOFARMA (INAF) Tunda Private Placement Anak Usaha,19 Mei 2015 23:50 WIB
Indofarma (INAF) Berharap Harga Obat Generik Dinaikkan,11 Februari 2015 05:51 WIB
INAF Kaji Investor Lain untuk Anak Usaha,10 Februari 2015 13:57 WIB
Indofarma Bantah Komisarisnya Terjerat Kasus Penyalahgunaan Pajak,22 Januari 2015 12:10 WIB
Kementerian BUMN Bantah Komisaris Indofarma Tersangka,21 Januari 2015 15:31 WIB
Indofarma Tunda Lagi Pencairan MTN Rp160 Miliar,20 Januari 2015 14:35 WIB
Yasser Arafat Tertarik pada Dunia Militer,10 Januari 2015 12:20 WIB
Menunggu Gebrakan Kimia Farma & Indofarma,06 Januari 2015 19:17 WIB
Pemerintah Siap Merger INAF & KAEF,09 Desember 2014 02:12 WIB
Indofarma Incar Laba Rp40 M di 2015,02 Desember 2014 22:26 WIB
"Tak Mampu Bayar Utang, Pefindo Turunkan Peringkat Indofarma",02 Desember 2014 19:13 WIB
"Setelah Rugi, INDOFARMA (INAF) Optimistis Akhir Tahun Raih Laba",28 November 2014 01:15 WIB
"Inilah Perbandingan Kinerja Phapros, Kimia Farma dan Indofarma",04 November 2014 07:45 WIB
INDOFARMA (INAF) Tekan Rugi Hingga Rp26 Miliar,29 Oktober 2014 15:46 WIB
Rencana Holding BUMN Farmasi Diyakini Beri Efek Positif,22 Oktober 2014 23:58 WIB
PEFINDO: Peringkat Indofarma (INAF) Diturunkan Akibat Kinerja Jeblok,03 September 2014 21:06 WIB
Pefindo Turunkan Peringkat Indofarma,14 Juli 2014 16:55 WIB
"Kinerja Keuangan: Rugi Bersih Indofarma Membengkak Jadi Rp38,38 Miliar",02 Mei 2014 13:29 WIB
"Kaji Penggabungan BUMN Farmasi, Kimia Farma Tunjuk Mandiri Sekuritas",26 Maret 2014 20:43 WIB
"Orang Kimia Farma ke Indofarma, Bakal Percepat Penggabungan BUMN Farmasi",26 Maret 2014 20:35 WIB
"Direksi Indofarma Dipecat, 'Orang' Kimia Farma Masuk",26 Maret 2014 15:16 WIB
"Indofarma (INAF) Cetak Rugi Bersih Rp54,2 Miliar pada 2013",28 Februari 2014 07:53 WIB
Peringkat Indofarma Turun Menjadi idBBB+,12 Februari 2014 18:44 WIB
"Farmasi Tertekan, Indofarma (INAF) Tetap Yakin Omzet Tembus Rp1,25 Triliun",24 Desember 2013 14:36 WIB
"Banyak yang Berkepentingan, Holding BUMN Farmasi Molor",24 Desember 2013 14:08 WIB
"Rupiah Terpuruk, Indofarma Rugi Bersih Rp61,16 Miliar",24 Desember 2013 07:00 WIB
Indofarma (INAF) Siapkan Belanja Modal Rp205 Miliar,25 November 2013 09:30 WIB
"Rupiah Melemah, Indofarma Belum Revisi Target",02 Oktober 2013 23:58 WIB
Indorama Resmikan Kampus Politeknik Enjinering di Purwakarta,23 September 2013 10:54 WIB
"Rupiah Jeblok, Indofarma Hitung Ulang Harga Produk",29 Agustus 2013 09:04 WIB
"Rupiah Anjlok, Indofarma Tunda Bangun Pabrik dan Terbitkan Surat Utang",29 Agustus 2013 08:59 WIB
Siap-siap Pil KB untuk Pria Segera Beredar,18 Agustus 2013 08:04 WIB
Pefindo Perkuat Rating Indofarma idA-,05 Agustus 2013 14:46 WIB
Jefrie Moza Ditunjuk Jadi Sekretaris Baru Indofarma,01 Agustus 2013 10:58 WIB
Kinerja Kimia Farma & Indofarma Mengecewakan,31 Juli 2013 06:45 WIB
"Laba Bersih Indofarma Anjlok 251%, Apa Penyebabnya?",25 Juli 2013 06:41 WIB
"Beban Usaha Meningkat, Indofarma Lakukan Efisiensi",13 Juli 2013 22:08 WIB
Renovasi Pabrik Indofarma Ditargetkan Rampung Bulan Ini,12 Juli 2013 14:47 WIB
Indofarma Jajaki Pengembangan Obat Kanker,13 Mei 2013 17:58 WIB
"Indofarma Bagikan Dividen Rp1,37 per Saham Pada 22 Mei 2013",16 April 2013 17:06 WIB
"INDOFARMA Bagikan Dividen Rp4,23 Miliar",11 April 2013 17:38 WIB
"INDOFARMA: Kinerja Saham Naik 105%, tetapi Target Penjualan Turun",11 April 2013 17:33 WIB
"INDOFARMA Alokasikan 10% Laba Bersih atau Rp4,2 Miliar untuk Dividen",11 April 2013 16:03 WIB
"INDO FARMA: Merger belum Jelas, Laba bersih Naik 15%",11 April 2013 15:47 WIB
DIRUT INDOFARMA: Elviano Rizaldi Gantikan Djakfarudin Yunus,11 April 2013 15:14 WIB
Djakfarudin Yunus Dicopot Dari Jabatan Dirut Indofarma,11 April 2013 13:34 WIB
HOLDING FARMASI: Konsolidasi Terhambat Penolakan Dari Direksi,09 April 2013 18:16 WIB
"KINERJA EMITEN: Indofarma Cetak Kenaikan Laba 14,81%",08 Maret 2013 09:54 WIB
"KINERJA EMITEN: Laba Bersih Indofarma Naik 14,81%",08 Maret 2013 08:22 WIB
INDUSTRI FARMASI: Indofarma ingin akuisisi Daewoong Riasima,11 Februari 2013 17:49 WIB
INDUSTRI FARMASI: Indofarma ingin akuisisi Daewoong Riasima,11 Februari 2013 17:49 WIB
INDOFARMA: 250 Karyawan Demo ke Kantor Dahlan Iskan Soal Outsourcing,16 Januari 2013 17:18 WIB
"EMITEN FARMASI: Indofarma patok tingkat bunga tetap 9,25%",21 Desember 2012 18:22 WIB
KALBE FARMA: Kinerja Tak Terpengaruh Merger BUMN Farmasi,06 Desember 2012 17:58 WIB
"AKSI KORPORASI: Perkuat Modal kerja, Indofarma Akan Terbitkan MTN Rp200 Miliar",05 September 2012 20:53 WIB
KINERJA KORPORASI: Indofarma tak bagi dividen,15 Mei 2012 16:06 WIB
KINERJA KUARTAL I/2012: Indofarma tergerus beban pajak,06 Mei 2012 11:37 WIB
EKSPANSI INDOFARMA: Jalin aliansi strategis dengan suplier & distributor,25 April 2012 12:06 WIB
LAPORAN KEUANGAN: Laba bersih Indofarma naik 194%,03 April 2012 13:56 WIB
AKSI KORPORASI: Indofarma berpeluang batalkan penerbitan obligasi,12 Maret 2012 17:34 WIB
EMITEN: Indofarma incar dana emisi obligasi Rp300 miliar,05 Maret 2012 15:58 WIB
Indofarma akan terbitkan obligasi Rp500 miliar,19 Februari 2012 14:48 WIB
RADIOFARMAKA: Indofarma berpeluang raup Rp200 miliar,17 Januari 2012 12:35 WIB
Indofarma incar pendapatan tumbuh 50% pada 2012,18 Desember 2011 11:08 WIB
Indofarma berpeluang akuisisi Kimia Farma,18 November 2011 14:48 WIB
Indofarma akan impor langsung bahan baku dari China,15 November 2011 18:14 WIB
Indofarma tunda RUPSLB hingga 28 Desember,14 November 2011 20:13 WIB
Indofarma jadi anak usaha Kimia Farma,30 Oktober 2011 11:42 WIB
Tender pemerintah topang penjualan Indofarma naik 30%,25 Oktober 2011 12:22 WIB
Dividen BUMN Farmasi untuk pemerintah dikurangi,24 Oktober 2011 15:46 WIB
Target eliminasi defisit Indofarma naik menjadi Rp97 miliar,17 Oktober 2011 15:18 WIB
Indofarma minta persetujuan kuasi organisasi,04 Oktober 2011 14:51 WIB
Quasi-reorganization of Indofarma to complete in 3Q/2011,10 Juni 2011 01:31 WIB
Indofarma not to pay dividend,09 Juni 2011 12:13 WIB
"Masih rugi, Indofarma tak bagi dividen",09 Juni 2011 06:56 WIB
"Indofarma incar pertumbuhan 13,3%",24 Mei 2011 05:31 WIB
Indofarma belum berencana realisasi rights issue,17 Februari 2011 11:48 WIB
"Indofarma incar pendapatan Rp1,4 triliun",17 Februari 2011 08:25 WIB
Indofarma FY10 net income to soar 550%,17 Februari 2011 06:08 WIB
