News Title,News Date
EKSPANSI EMITEN FARMASI : INAF Kebut Pabrik Baru,21 Mei 2021 02:00 WIB
Kinerja Kuartal I/2021: Penjualan Indofarma (INAF) Tumbuh 152 Persen,20 Mei 2021 19:30 WIB
"Tangkap Peluang Bisnis, Indofarma (INAF) Bakal Bangun Banyak Pabrik Tahun Ini",20 Mei 2021 18:55 WIB
Hore! KAI Divre III Palembang Hadirkan GeNose C19 di Enam Stasiun,28 April 2021 12:47 WIB
"Laba Bersih Indofarma (INAF) Tergerus saat Pendapatan Naik, Manajemen Beri Penjelasan",28 April 2021 10:35 WIB
Indofarma Cari Investor di Pameran Hannover Messe,15 April 2021 11:30 WIB
Historia Bisnis : Wacana Merger KAEF dan INAF Rp5 Triliun,18 Maret 2021 13:00 WIB
"Penjualan IRRA Naik 100 Persen, Kemenkes dan Indofarma (INAF) Jadi Pelanggan Utama",19 Februari 2021 20:20 WIB
"Kasus Covid-19 di Kupang Melonjak, Kemenkes Kirim Mobil Laboratorium PCR",19 Februari 2021 07:45 WIB
Indofarma (INAF) Sebut Pasokan Masker dan APD Berlebih,16 Februari 2021 13:55 WIB
Indofarma (NAF) Targetkan Kontribusi Alat Kesehatan Naik 55 Persen,15 Februari 2021 23:01 WIB
VAKSINASI NASIONAL : BUMN Farmasi Berburu Ke Penjuru Dunia,03 Februari 2021 02:00 WIB
Induk INAF dan KAEF Putar Otak Pepet Semua Produsen Vaksin Dunia,01 Februari 2021 11:12 WIB
"10 Saham Top Losers 25 Januari 2021, Saham Farmasi Hingga Bank Mepet ARB",25 Januari 2021 17:13 WIB
"10 Saham Top Losers 14 Januari 2021, Rombongan Saham Farmasi Masuk Deretan",14 Januari 2021 17:47 WIB
Indofarma Perlu Fasilitas Tambahan untuk Distribusikan Pfizer,13 Januari 2021 18:29 WIB
"Valuasi Terlampau Mahal, Saham Farmasi Masih Diburu Investor",12 Januari 2021 18:20 WIB
"Vaksinasi Covid-19, Indofarma (INAF) Bakal Datangkan 50 Juta Vaksin Novavax",12 Januari 2021 16:41 WIB
"Itama Ranoraya (IRRA) Disuspensi, Bagaimana Saham KAEF dan INAF?",12 Januari 2021 12:58 WIB
"Jelang Vaksinasi Covid-19, Saham Farmasi BUMN Melejit",11 Januari 2021 12:43 WIB
"Babak Baru Vaksin Corona di Indonesia, Game Changer 2021",30 Desember 2020 19:47 WIB
Indonesia Resmi Beli 100 Juta Vaksin Covid-19 dari AstraZeneca dan Novavax,30 Desember 2020 13:53 WIB
Kimia Farma & Indofarma Perkuat Tes Covid-19 di Bandara Soetta,27 Desember 2020 12:59 WIB
Indofarma (INAF) Tunjuk Sekretaris Perusahaan Baru Usai Saham Melorot Sepekan,26 Desember 2020 08:58 WIB
"Gandeng Indofarma (INAF), Ini Jurus AP II Cegah Keramaian Tes Covid-19 di Bandara",20 Desember 2020 06:47 WIB
Historia Bisnis : Investor Indofarma (INAF) Diminta Setor Jaminan,16 Desember 2020 12:30 WIB
"Dapat Kontrak Baru Vaksin dari Amerika Serikat, Prospek Indofarma (INAF) Terjaga?",10 Desember 2020 18:52 WIB
Cendekiawan Muslim: Beribadah di Rumah Selama Pandemi Dianjurkan,10 Desember 2020 16:41 WIB
"5 Berita Populer Ekonomi, Ini Bocoran Pembagian Saham 4 BUMN di Indonesia Battery Holding dan 3. Akhirnya! Indofarma Pastikan Bisa Beli 130 Juta Dosis Vaksin Novavax",10 Desember 2020 15:42 WIB
"Indofarma (INAF) Dapat Vaksin Corona dari Novavax, Pengiriman Mulai Mei 2021",10 Desember 2020 07:22 WIB
Akhirnya! Indofarma Pastikan Bisa Beli 130 Juta Dosis Vaksin Novavax,09 Desember 2020 18:57 WIB
"Hati-hati Koreksi Saham Farmasi, Cek Dulu Level Resistensinya!",08 Desember 2020 19:08 WIB
"10 Saham Top Gainers 7 Desember 2020, Emiten Farmasi Mendominasi",07 Desember 2020 17:47 WIB
"Vaksin Tiba di Indonesia, Indofarma (INAF) Siapkan Infrastruktur Distribusi",07 Desember 2020 17:08 WIB
"Vaksin Covid-19 Tiba di Indonesia, KAEF dan INAF Siap Tancap Gas?",07 Desember 2020 05:00 WIB
ALAT KESEHATAN UNTUK VAKSIN : Indofarma Jamin Ketersediaan Jarum Suntik,07 Desember 2020 02:00 WIB
Ini Lokasi Baru Rapid Test di Soetta. Cek Layanannya,06 Desember 2020 17:43 WIB
Indofarma Pastikan Kebutuhan Alkes Vaksinasi Massal Terpenuhi,04 Desember 2020 13:47 WIB
"Ditopang Alkes Covid-19, Penjualan Indofarma Melejit",04 Desember 2020 11:28 WIB
"Okupansi RS Melandai, Serapan Obat Non Covid-19 Indofarma Turun",03 Desember 2020 23:17 WIB
"Ini Profil Bos Indofarma (INAF), Peraih The Best CEO BUMN 2020",30 November 2020 19:14 WIB
"Raih The Best CFO BUMN, Begini Sepak Terjang Dirkeu INAF Herry Triyatno",30 November 2020 18:59 WIB
"Indofarma (INAF), Berdiri Sejak 1918 hingga Visi Skala Global",30 November 2020 17:26 WIB
"Kinerja Indofarma (INAF) Membaik pada Kuartal III/2020, Bisa Laba Akhir Tahun?",20 November 2020 20:09 WIB
"Indofarma (INAF) Kejar Target Penjualan Rp1,6 Triliun",18 November 2020 20:37 WIB
Indofarma (INAF) Akan Fokus pada Penjualan Vaksin Covid-19 Tahun Depan,11 November 2020 23:47 WIB
Indofarma (INAF) Jajal Kerjasama Pengadaan Vaksin dengan Novavax,15 Oktober 2020 13:29 WIB
"Jokowi Minta 'Roadmap' Vaksinasi Dikebut, Saham BUMN Farmasi Kembali Melesat",12 Oktober 2020 12:26 WIB
"Bio Farma Dapat Tugas dari Jokowi, KAEF & INAF Terlibat",07 Oktober 2020 21:02 WIB
"Indofarma (INAF) Serap Capex Rp4,46 Miliar",05 Oktober 2020 18:19 WIB
"Indofarma Mulai Jual Obat Corona Remdesivir Rp1,3 Juta, Berapa Modalnya?",05 Oktober 2020 16:56 WIB
"Ganti Tes Rapid, Indofarma Dukung Pengadaan Tes Antigen",05 Oktober 2020 15:34 WIB
Daftar Obat Covid-9 Produksi Kimia Farma dan Indofarma yang Siap Digunakan,05 Oktober 2020 11:10 WIB
Indofarma Siapkan Stok 400.000 Obat Remdesivir Bulan Ini,05 Oktober 2020 11:05 WIB
"Sama-sama Jualan Obat Remdesivir, Begini Laju saham KLBF dan INAF",05 Oktober 2020 10:38 WIB
"Setelah Indofarma (INAF), Kimia Farma (KAEF) Siapkan Obat Corona",05 Oktober 2020 10:31 WIB
SENTIMEN SAHAM : Remdesivir Ungkit KLBF & INAF,05 Oktober 2020 02:00 WIB
Remdesivir Berpotensi Mengayun Saham Sektor Farmasi,04 Oktober 2020 21:32 WIB
